id,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING
G045,BENZINERA,https://www.bonarea.com/benzinera/G045,"CTRA DE RIUDOMS,KM 2,2",REUS,43206,E.S. bonÀrea Reus G045,41.145601,1.085197,41° 08' 44'',1° 05' 06'',1,1,1,,1,
G046,BENZINERA,https://www.bonarea.com/benzinera/G046,Autovia A-2 KM. 311,ZARAGOZA,50010,E.S. bonÀrea Zaragoza G046,41.63273,-0.983963,41° 37' 57'',-0° 59' 02'',1,1,,,,
G047,BENZINERA,https://www.bonarea.com/benzinera/G047,"Poligon Ind. La Pedrosa, pacel. 5",MASQUEFA,08783,E.S. bonArea Masquefa G047,41.499528,1.822028,41° 29' 58'',1° 49' 19'',1,1,,,,
G048,BENZINERA,https://www.bonarea.com/benzinera/G048,Carretera del Mig 146,"HOSPITALET DE LLOBREGAT, L'",08907,E.S. bonÀrea L'Hospitalet de Llobregat G048,41.353884,2.103526,41° 21' 13'',2° 06' 12'',1,1,,,,
G049,BENZINERA,https://www.bonarea.com/benzinera/G049,"Carrer Estiu, 18-20",BADALONA,08918,E.S. bonÀrea Badalona G049,41.430277,2.2273888,41° 25' 48'',2° 13' 38'',1,1,,1,,
G051,BENZINERA,https://www.bonarea.com/benzinera/G051,CL. DINAMARCA S/N,UTEBO,50180,E.S. bonÀrea Utebo G051,41.710885,-1.019607,41° 42' 39'',-1° 01' 10'',1,1,,1,,
G052,BENZINERA,https://www.bonarea.com/benzinera/G052,"CL. SALLENT, 50",MANRESA,08240,E.S. bonÀrea Manresa G052,41.737297,1.841842,41° 44' 14'',1° 50' 30'',1,1,,1,1,
G053,BENZINERA,https://www.bonarea.com/benzinera/G053,"CARRETERA BV-2005 KM4,7",TORRELLES DE LLOBREGAT,08629,E.S. bonÀrea Torrelles G053,41.365572,1.98513,41° 21' 56'',1° 59' 06'',1,1,,,,
G054,BENZINERA,https://www.bonarea.com/benzinera/G054,"Avda. Barcelona, 26",TARREGA,25300,E.S. bonArea Tàrrega G054,41.6524972,1.149708333,41° 39' 08'',1° 08' 58'',1,1,,,,
G055,BENZINERA,https://www.bonarea.com/benzinera/G055,"C/. BALLOBAR, 11",HUESCA,22004,E.S. bonArea Huesca G055,42.1282028,-0.416780555,42° 07' 41'',-0° 25' 00'',1,1,,1,,
G056,BENZINERA,https://www.bonarea.com/benzinera/G056,Carrer de Can Gurri s/n,Parets del Valles,08150,E.S. bonÀrea Parets del Valles G056,41.56768,2.2439,41° 34' 03'',2° 14' 38'',1,1,,,,
G058,BENZINERA,https://www.bonarea.com/benzinera/G058,"CR. N-340 KM. 1215,500",SANT CUGAT SESGARRIGUES,08798,E.S. bonÀrea S. Cugat Sesgarrigues G058,41.3557778,1.7426523,41° 21' 20'',1° 44' 33'',1,1,1,1,1,
G059,BENZINERA,https://www.bonarea.com/benzinera/G059,"POLIG. IND. FRANCOLI, 4",TARRAGONA,43006,E.S. bonArea Tarragona G059,41.1140806,1.2252305555,41° 06' 50'',1° 13' 30'',1,1,,1,,
G060,BENZINERA,https://www.bonarea.com/benzinera/G060,"Avda. Goles de l'Ebre, 7",DELTEBRE,43006,E.S. bonÀrea Deltebre G060,40.7235083,0.724997222,40° 43' 24'',0° 43' 29'',1,1,,,,
G061,BENZINERA,https://www.bonarea.com/benzinera/G061,POL.IND.VALLS CRTA.DEL PLA 180,VALLS,43800,E.S. bonÀrea Valls G061,41.304305899,1.2626579824,41° 18' 15'',1° 15' 45'',1,1,1,1,,
G062,BENZINERA,https://www.bonarea.com/benzinera/G062,"CR N-340, VALENCIA-BARCELONA, KM. 60,70",VILA-REAL,12540,E.S. bonArea Vila-real G062,39.949861,-0.085083,39° 56' 59'',-0° 05' 06'',1,1,,1,,
G066,BENZINERA,https://www.bonarea.com/benzinera/G066,"CAMI DEL CORRAL DE DIAGO, 4",ONDA,12200,E.S. bonÀrea Onda G066,39.955047607421875,-0.2022669017314911,39° 57' 18'',-0° 12' 08'',1,1,,,,
G067,BENZINERA,https://www.bonarea.com/benzinera/G067,Carrer Fusteries 4-6,Cambrils,43850,E.S. bònArea Cambrils G067,41.078481,1.039547,41° 04' 42'',1° 02' 22'',1,1,,,,
G071,BENZINERA,https://www.bonarea.com/benzinera/G071,"Cr. Zaragoza, PG 29, Parce 183 (LAS ERAS)",VILLANUEVA DE GALLEGO,50830,E.S. bonÀrea Villanueva de Gallego G071,41.7774306,-0.828447222,41° 46' 38'',-0° 49' 42'',1,1,,1,,
N,BENZINERA,https://www.bonarea.com/benzinera/N,Ptda.Leseres Polig.4,ANGLESOLA,25320,E.S. bonÀrea Anglesola,41.657152,1.0792,41° 39' 25'',1° 04' 45'',,,,,,
42301,BOTIGA,https://www.bonarea.com/botiga/42301,CACERES 8,BARCELONA,,,41.375005186165616,2.1334075927734375,41° 22' 30'',2° 08' 00'',,,,,,
42302,BOTIGA,https://www.bonarea.com/botiga/42302,SANT DOMENEC 6,SANT CUGAT DEL VALLES,,,41.47314411895786,2.0818233489990234,41° 28' 23'',2° 04' 54'',,,,,,
42303,BOTIGA,https://www.bonarea.com/botiga/42303,LLUÇA 54,BARCELONA,,,41.383239,2.130286,41° 22' 59'',2° 07' 49'',,,,,,
42305,BOTIGA,https://www.bonarea.com/botiga/42305,CL ARNAU D'OMS 54,BARCELONA,,,41.43088670022889,2.177460193634033,41° 25' 51'',2° 10' 38'',,,,,,
42310,BOTIGA,https://www.bonarea.com/botiga/42310,PUJOS 56,"HOSPITALET DE LLOBREGAT, L'",,,41.372889,2.117611,41° 22' 22'',2° 07' 03'',,,,,,
42316,BOTIGA,https://www.bonarea.com/botiga/42316,AV DE LA RIERA DE CASSOLES 2,BARCELONA,,,41.401422916001316,2.15132474899292,41° 24' 05'',2° 09' 04'',,,,,,
42318,BOTIGA,https://www.bonarea.com/botiga/42318,MANSO 66,BARCELONA,,,41.378028,2.162523,41° 22' 40'',2° 09' 45'',,,,,,
42319,BOTIGA,https://www.bonarea.com/botiga/42319,LAFORJA 81,BARCELONA,,,41.396106,2.144758,41° 23' 45'',2° 08' 41'',,,,,,
