id,Fecha,Dia_Semana,latitude,longitude,minutsLatitude,minutsLongitude,GASOIL A,GASOLINA S/P 95,GASOLINA S/P 98,ADBLUE
G037,24-03-21,Wednesday,41.562567,1.979034,41° 33' 45'',1° 58' 44'',1.035,1.176,,0.35
G038,24-03-21,Wednesday,41.577437,1.656985,41° 34' 38'',1° 39' 25'',1.036,1.176,,0.35
G039,24-03-21,Wednesday,40.698883,0.579255,40° 41' 55'',0° 34' 45'',1.041,1.182,,0.35
G041,24-03-21,Wednesday,41.602843,1.539901,41° 36' 10'',1° 32' 23'',1.036,1.177,1.215,0.35
G042,24-03-21,Wednesday,41.299974,2.008942,41° 17' 59'',2° 00' 32'',1.034,1.175,1.213,0.35
G043,24-03-21,Wednesday,41.985462,1.550053,41° 59' 07'',1° 33' 00'',1.039,1.18,,0.35
G044,24-03-21,Wednesday,41.007028,0.911,41° 00' 25'',0° 54' 39'',1.039,1.18,,0.35
G045,24-03-21,Wednesday,41.145601,1.085197,41° 08' 44'',1° 05' 06'',1.038,1.179,,0.35
G046,24-03-21,Wednesday,41.63273,-0.983963,41° 37' 57'',-0° 59' 02'',1.047,1.188,,0.35
G047,24-03-21,Wednesday,41.499528,1.822028,41° 29' 58'',1° 49' 19'',1.035,1.176,,0.35
G048,24-03-21,Wednesday,41.353884,2.103526,41° 21' 13'',2° 06' 12'',1.033,1.174,,0.35
G049,24-03-21,Wednesday,41.430277,2.2273888,41° 25' 48'',2° 13' 38'',1.034,1.174,,0.35
G051,24-03-21,Wednesday,41.710885,-1.019607,41° 42' 39'',-1° 01' 10'',1.047,1.188,,0.35
G052,24-03-21,Wednesday,41.737297,1.841842,41° 44' 14'',1° 50' 30'',1.036,1.177,,0.35
G053,24-03-21,Wednesday,41.365572,1.98513,41° 21' 56'',1° 59' 06'',1.034,1.175,,0.35
G054,24-03-21,Wednesday,41.6524972,1.149708333,41° 39' 08'',1° 08' 58'',1.038,1.179,,0.35
G055,24-03-21,Wednesday,42.1282028,-0.416780555,42° 07' 41'',-0° 25' 00'',1.046,1.186,,0.35
G056,24-03-21,Wednesday,41.56768,2.2439,41° 34' 03'',2° 14' 38'',1.035,1.176,,0.35
G058,24-03-21,Wednesday,41.3557778,1.7426523,41° 21' 20'',1° 44' 33'',1.035,1.176,,0.35
G059,24-03-21,Wednesday,41.1140806,1.225230556,41° 06' 50'',1° 13' 30'',1.037,1.178,,0.35
G060,24-03-21,Wednesday,40.7235083,0.724997222,40° 43' 24'',0° 43' 29'',1.041,1.182,,0.35
G061,24-03-21,Wednesday,41.3043059,1.262657982,41° 18' 15'',1° 15' 45'',1.037,1.178,,0.35
G062,24-03-21,Wednesday,39.949861,-0.085083,39° 56' 59'',-0° 05' 06'',1.046,1.186,,0.35
G066,24-03-21,Wednesday,39.95504761,-0.202266902,39° 57' 18'',-0° 12' 08'',1.046,1.187,,0.35
G067,24-03-21,Wednesday,41.078481,1.039547,41° 04' 42'',1° 02' 22'',1.038,1.179,,0.35
G071,24-03-21,Wednesday,41.7774306,-0.828447222,41° 46' 38'',-0° 49' 42'',1.047,1.188,,0.35
N,24-03-21,Wednesday,41.657152,1.0792,41° 39' 25'',1° 04' 45'',1.038,,,
A,25-03-21,Thursday,41.78194,1.27805,41° 46' 54'',1° 16' 40'',1.038,1.179,1.217,
G002,25-03-21,Thursday,41.615747,0.648654,41° 36' 56'',0° 38' 55'',1.04,,,0.35
G004,25-03-21,Thursday,41.8082127,2.0979496,41° 48' 29'',2° 05' 52'',1.037,1.178,,0.35
G005,25-03-21,Thursday,41.61,1.13,41° 36' 36'',1° 07' 48'',1.038,1.179,,
G006,25-03-21,Thursday,41.759728,1.197853,41° 45' 35'',1° 11' 52'',1.038,,,0.35
G010,25-03-21,Thursday,41.78818,1.28653,41° 47' 17'',1° 17' 11'',1.038,,,0.35
